=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-6_2-27-9
====================================================================================
2:27:9 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
2:32:17 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9289.773438, 260.288757, 10962.903320>)
2:32:18 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9315.983398, 259.259949, 10976.517578>)
2:32:18 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9337.482422, 258.275146, 10984.857422>)
2:32:19 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9358.527344, 257.309265, 10993.077148>)
2:32:19 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9379.351563, 256.166931, 11002.030273>)
2:32:20 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9400.141602, 254.986481, 11011.786133>)
2:32:20 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9420.567383, 253.897705, 11021.406250>)
2:32:21 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9445.530273, 252.117325, 11033.514648>)
2:32:21 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9471.866211, 250.010849, 11046.320313>)
2:32:22 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9494.827148, 248.193588, 11063.792969>)
2:32:23 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9521.453125, 245.871124, 11083.751953>)
2:32:23 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9543.500000, 244.436783, 11098.702148>)
2:32:24 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9573.128906, 242.294434, 11117.833008>)
2:32:24 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9613.275391, 239.074112, 11142.780273>)
2:32:25 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9644.999023, 236.907700, 11162.402344>)
2:32:25 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9674.466797, 235.197861, 11178.564453>)
2:32:26 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9699.318359, 234.262009, 11189.304688>)
2:32:28 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9727.003906, 232.642456, 11197.617188>)
2:32:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9744.062500, 231.812515, 11203.618164>)
2:32:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9760.446289, 231.304184, 11210.987305>)
2:32:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9775.954102, 230.786209, 11218.636719>)
2:32:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9790.982422, 230.340347, 11226.077148>)
2:32:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9805.580078, 230.048279, 11233.994141>)
2:32:48 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9923.724609, 228.897369, 11304.249023>)
2:32:48 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9953.489258, 229.370926, 11321.293945>)
2:32:49 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9970.227539, 230.123871, 11330.408203>)
2:32:50 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<9986.505859, 230.903076, 11339.262695>)
2:32:50 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10001.920898, 231.341034, 11346.645508>)
2:33:2 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10076.758789, 231.458817, 11383.835938>)
2:33:3 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10096.772461, 231.087311, 11393.735352>)
2:33:5 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10156.295898, 231.264252, 11425.990234>)
2:33:6 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10185.080078, 232.406296, 11441.790039>)
2:33:8 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10204.233398, 233.983780, 11452.284180>)
2:33:9 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10245.861328, 235.994980, 11471.301758>)
2:33:11 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10269.529297, 237.963074, 11484.159180>)
2:33:13 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10292.266602, 241.293854, 11497.957031>)
2:33:14 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10307.251953, 244.487350, 11507.063477>)
2:33:16 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10329.477539, 247.450317, 11520.239258>)
2:33:18 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10382.504883, 258.572906, 11558.828125>)
2:33:23 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10435.128906, 263.769196, 11593.999023>)
2:33:24 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10464.395508, 264.866364, 11612.360352>)
2:33:25 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10480.834961, 266.098114, 11622.161133>)
2:33:26 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10493.705078, 267.605896, 11629.792969>)
2:33:27 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10511.292969, 269.621643, 11642.361328>)
2:33:28 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10527.320313, 271.046173, 11651.837891>)
2:33:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10544.491211, 272.709229, 11661.118164>)
2:33:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10561.663086, 274.000610, 11670.363281>)
2:33:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10676.731445, 270.252869, 11733.339844>)
2:33:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10678.280273, 271.819885, 11734.016602>)
2:33:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10691.838867, 259.398224, 11731.000977>)
2:33:48 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:33:50 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:33:52 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:33:58 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:33:59 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:34:0 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:34:40 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10864.596680, 224.945480, 11749.471680>)
2:34:47 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10917.113281, 223.578934, 11737.950195>)
2:34:48 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10932.774414, 225.347031, 11735.160156>)
2:34:50 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<10948.462891, 227.649643, 11732.723633>)
2:35:1 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:35:14 | Player "Survivor" (steamId=76561199061045416) disconnected from server.
2:36:44 | Player "Survivor" (steamId=76561199061045416) connected to server!
2:38:9 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13177.502930, 4.700759, 7395.889160>)
2:38:10 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13167.080078, 4.960065, 7398.245605>)
2:38:11 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13156.330078, 5.243849, 7400.666504>)
2:38:12 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13145.988281, 5.565819, 7397.266602>)
2:38:13 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13137.685547, 5.737304, 7393.458496>)
2:38:13 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13129.457031, 5.849523, 7390.002930>)
2:38:14 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13121.480469, 5.939781, 7386.674805>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13083.507813, 5.924303, 7406.389648>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13082.000000, 5.906219, 7411.414551>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13080.487305, 5.892959, 7416.380859>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13080.487305, 5.892959, 7416.380859>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13080.079102, 5.889429, 7417.721191>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13078.974609, 5.879737, 7421.347168>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13078.743164, 5.877723, 7422.103516>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13077.866211, 5.870089, 7424.984863>)
2:38:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13077.463867, 5.868256, 7426.308594>)
2:38:51 | "Survivor" (steamid=76561199061045416) toggled godmode
2:39:21 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:39:22 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:39:29 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:39:30 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:39:38 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:39:39 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:39:40 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:39:40 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:39:40 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:39:40 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:39:40 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:39:40 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:40:31 | [WeatherManager] Send Data Count is 1
2:41:24 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:41:30 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:41:34 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:41:41 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:41:48 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:41:54 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:41:58 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:42:6 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:42:36 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13075.252930, 5.852394, 7438.203125>)
2:43:5 | "Survivor" (steamid=76561199061045416) toggled godmode
2:43:6 | "Survivor" (steamid=76561199061045416) toggled godmode
2:43:14 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:43:22 | "Survivor" (steamid=76561199061045416) toggled godmode
2:43:32 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198956818598)
2:43:36 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198351989993)
2:43:46 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198105615546)
2:43:51 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561198876649341)
2:43:56 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199231380369)
2:44:1 | "Survivor" (steamid=76561199061045416) just updated a health stat on (steamid=76561199061045416)
2:44:28 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13074.155273, 5.850000, 7443.231445>)
2:44:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13073.395508, 5.850111, 7447.541504>)
2:44:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13072.479492, 5.862024, 7452.008789>)
2:44:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13071.572266, 5.873160, 7456.446289>)
2:44:29 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13070.662109, 5.880287, 7460.894043>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13069.746094, 5.891443, 7465.363281>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13069.746094, 5.891443, 7465.363281>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13068.862305, 5.908799, 7469.692383>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13068.842773, 5.909160, 7469.784180>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13068.481445, 5.916217, 7471.555664>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13067.941406, 5.926755, 7474.191895>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13067.633789, 5.931685, 7475.699707>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13067.035156, 5.940279, 7478.623535>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13066.915039, 5.942003, 7479.210938>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13066.453125, 5.948589, 7481.442871>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13065.993164, 5.955033, 7483.639648>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13065.914063, 5.956114, 7483.986816>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13064.998047, 5.969064, 7488.398438>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13064.973633, 5.969336, 7488.500977>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13064.458008, 5.976006, 7491.004395>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13064.138672, 5.984013, 7493.503906>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13063.877930, 5.995322, 7496.333496>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13063.809570, 5.997570, 7496.889160>)
2:44:30 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13063.469727, 6.010604, 7500.226074>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13063.386719, 6.017026, 7502.633301>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13063.158203, 6.027359, 7506.505859>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13063.099609, 6.034430, 7509.161133>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.975586, 6.040289, 7511.358398>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.822266, 6.050000, 7515.354004>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.688477, 6.049997, 7518.046875>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.635742, 6.049997, 7519.391113>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.451172, 6.049999, 7523.687012>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.348633, 6.049997, 7525.998047>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.160156, 6.048885, 7530.417969>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13062.160156, 6.048884, 7530.417969>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.998047, 6.040524, 7534.104492>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.861328, 6.036152, 7537.243652>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.712891, 6.027176, 7540.664551>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.563477, 6.013765, 7544.058105>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.489258, 6.005013, 7545.748535>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.307617, 5.979405, 7549.812988>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.192383, 5.965169, 7552.453125>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13061.002930, 5.936327, 7556.708496>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13060.961914, 5.928877, 7557.640137>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13060.777344, 5.895976, 7561.752441>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13060.660156, 5.875010, 7564.373047>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13060.481445, 5.841842, 7568.373535>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13060.348633, 5.814172, 7571.338379>)
2:44:31 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13060.296875, 5.803329, 7572.500000>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13060.099609, 5.762307, 7576.895020>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13059.980469, 5.737816, 7579.519531>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13059.979492, 5.737690, 7579.532715>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13059.737305, 5.697176, 7583.874512>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13059.686523, 5.686906, 7584.974609>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13059.475586, 5.650300, 7589.042480>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13059.331055, 5.630503, 7591.790527>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13059.129883, 5.603828, 7595.751953>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.976563, 5.587234, 7598.684082>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.931641, 5.583580, 7599.583008>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.780273, 5.571296, 7602.603516>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.673828, 5.561793, 7604.664063>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.498047, 5.555861, 7608.104980>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.431641, 5.554076, 7609.443848>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.208984, 5.548226, 7613.830078>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13058.157227, 5.546849, 7614.864746>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.868164, 5.540784, 7620.583496>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.868164, 5.540784, 7620.583496>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.774414, 5.543261, 7622.464844>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.529297, 5.549767, 7627.321289>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.529297, 5.549767, 7627.321289>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.485352, 5.550958, 7628.218262>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.299805, 5.555894, 7631.918457>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.194336, 5.558685, 7634.010742>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13057.033203, 5.560001, 7637.236816>)
2:44:32 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13056.883789, 5.560003, 7640.202148>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13056.716797, 5.557288, 7643.517090>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13056.564453, 5.549278, 7646.520996>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13056.541016, 5.548073, 7646.973145>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13056.222656, 5.534002, 7653.222656>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13056.193359, 5.533186, 7653.804688>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13056.140625, 5.531723, 7654.850586>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.880859, 5.523366, 7659.988770>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.856445, 5.522061, 7660.478516>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.659180, 5.511724, 7664.354980>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.523438, 5.507285, 7667.037109>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.507813, 5.506921, 7667.311035>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.507813, 5.506921, 7667.311035>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.507813, 5.506921, 7667.311035>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.231445, 5.500371, 7672.777832>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13055.167969, 5.502073, 7674.054199>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.921875, 5.508638, 7678.975586>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.830078, 5.511038, 7680.777832>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.586914, 5.517556, 7685.665039>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.586914, 5.517556, 7685.665039>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.570313, 5.517996, 7685.994141>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.254883, 5.532882, 7692.329102>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.253906, 5.532941, 7692.351563>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13054.218750, 5.534707, 7693.013672>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.923828, 5.550626, 7698.983887>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.916992, 5.550917, 7699.093262>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.882813, 5.552581, 7699.716797>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.862305, 5.553694, 7700.134277>)
2:44:33 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.585938, 5.568662, 7705.748047>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.579102, 5.568980, 7705.867188>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.506836, 5.572596, 7707.222656>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.254883, 5.586410, 7712.402832>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.248047, 5.586730, 7712.523438>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13053.139648, 5.592239, 7714.588867>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.922852, 5.602088, 7719.065918>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.920898, 5.602127, 7719.094727>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.869141, 5.603447, 7720.083984>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.583008, 5.608917, 7725.812012>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.572266, 5.608645, 7726.017090>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.448242, 5.605415, 7728.440918>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.241211, 5.599808, 7732.571777>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.237305, 5.599613, 7732.645508>)
2:44:34 | "Survivor" (steamid=76561199061045416) teleported to crosshair (pos=<13052.112305, 5.593169, 7735.062500>)
